method,method_label,channel_index,channel,mean_neighbor_jaccard,median_neighbor_jaccard,min_neighbor_jaccard
raw_pearson,原值 Pearson Top-8,24,channel_25,0.7555555555555555,0.7777777777777778,0.6
raw_pearson,原值 Pearson Top-8,25,channel_26,0.5290339290339291,0.5272727272727272,0.23076923076923078
raw_pearson,原值 Pearson Top-8,26,channel_27,0.6646464646464646,0.6888888888888889,0.45454545454545453
raw_pearson,原值 Pearson Top-8,27,channel_28,0.7777777777777778,0.7777777777777778,0.7777777777777778
raw_pearson,原值 Pearson Top-8,28,channel_29,0.39797979797979804,0.3333333333333333,0.3333333333333333
raw_pearson,原值 Pearson Top-8,29,channel_30,0.34702334702334703,0.28205128205128205,0.14285714285714285
raw_pearson,原值 Pearson Top-8,30,channel_31,0.4896214896214896,0.5042735042735043,0.14285714285714285
raw_pearson,原值 Pearson Top-8,31,channel_32,0.6962962962962963,0.6,0.6
raw_pearson,原值 Pearson Top-8,32,channel_33,0.6962962962962963,0.6,0.6
raw_pearson,原值 Pearson Top-8,33,channel_34,0.5584045584045584,0.5555555555555556,0.23076923076923078
raw_pearson,原值 Pearson Top-8,34,channel_35,0.5461279461279461,0.5272727272727272,0.3333333333333333
raw_pearson,原值 Pearson Top-8,35,channel_36,0.632996632996633,0.6161616161616161,0.3333333333333333
raw_pearson,原值 Pearson Top-8,36,channel_37,0.6127946127946128,0.6161616161616161,0.3333333333333333
raw_pearson,原值 Pearson Top-8,37,channel_38,0.3712657712657712,0.28205128205128205,0.14285714285714285
raw_pearson,原值 Pearson Top-8,38,channel_39,0.4896214896214896,0.5042735042735043,0.14285714285714285
raw_pearson,原值 Pearson Top-8,39,channel_40,0.6962962962962963,0.6,0.6
raw_pearson,原值 Pearson Top-8,40,channel_41,0.4697746697746698,0.5272727272727272,0.23076923076923078
raw_pearson,原值 Pearson Top-8,41,channel_42,0.4106782106782107,0.3939393939393939,0.14285714285714285
raw_pearson,原值 Pearson Top-8,42,channel_43,0.4751618751618752,0.45454545454545453,0.23076923076923078
raw_pearson,原值 Pearson Top-8,43,channel_44,0.40317460317460313,0.4666666666666667,0.14285714285714285
raw_pearson,原值 Pearson Top-8,44,channel_45,0.5164983164983166,0.5272727272727272,0.3333333333333333
raw_pearson,原值 Pearson Top-8,45,channel_46,0.4106782106782107,0.3939393939393939,0.14285714285714285
raw_pearson,原值 Pearson Top-8,46,channel_47,0.3912087912087912,0.23076923076923078,0.14285714285714285
raw_pearson,原值 Pearson Top-8,47,channel_48,0.3912087912087912,0.23076923076923078,0.14285714285714285
raw_pearson,原值 Pearson Top-8,48,channel_49,0.3443223443223444,0.23076923076923078,0.14285714285714285
raw_pearson,原值 Pearson Top-8,49,channel_50,0.3912087912087912,0.23076923076923078,0.14285714285714285
raw_pearson,原值 Pearson Top-8,50,channel_51,0.3912087912087912,0.23076923076923078,0.14285714285714285
raw_pearson,原值 Pearson Top-8,51,channel_52,0.3443223443223444,0.23076923076923078,0.14285714285714285
raw_pearson,原值 Pearson Top-8,52,channel_53,0.3395493395493396,0.3333333333333333,0.23076923076923078
raw_pearson,原值 Pearson Top-8,53,channel_54,0.6888888888888888,0.6888888888888889,0.6
raw_pearson,原值 Pearson Top-8,54,channel_55,0.31934731934731936,0.3333333333333333,0.23076923076923078
raw_pearson,原值 Pearson Top-8,55,channel_56,0.4922558922558922,0.45454545454545453,0.3333333333333333
raw_pearson,原值 Pearson Top-8,56,channel_57,0.6153846153846154,0.6153846153846154,0.23076923076923078
raw_pearson,原值 Pearson Top-8,57,channel_58,0.6153846153846154,0.6153846153846154,0.23076923076923078
raw_pearson,原值 Pearson Top-8,58,channel_59,0.6153846153846154,0.6153846153846154,0.23076923076923078
raw_pearson,原值 Pearson Top-8,59,channel_60,0.6153846153846154,0.6153846153846154,0.23076923076923078
raw_pearson,原值 Pearson Top-8,60,channel_61,0.4547008547008547,0.41538461538461535,0.06666666666666667
raw_pearson,原值 Pearson Top-8,61,channel_62,0.15670995670995672,0.10476190476190475,0.06666666666666667
raw_pearson,原值 Pearson Top-8,62,channel_63,0.15670995670995672,0.10476190476190475,0.06666666666666667
raw_pearson,原值 Pearson Top-8,63,channel_64,0.10671550671550671,0.06666666666666667,0.06666666666666667
raw_pearson,原值 Pearson Top-8,64,channel_65,0.15946275946275945,0.14285714285714285,0.06666666666666667
raw_pearson,原值 Pearson Top-8,65,channel_66,0.5413105413105413,0.5042735042735043,0.23076923076923078
raw_pearson,原值 Pearson Top-8,66,channel_67,0.3515151515151515,0.2606060606060606,0.06666666666666667
raw_pearson,原值 Pearson Top-8,67,channel_68,0.3196729196729196,0.23809523809523808,0.06666666666666667
raw_pearson,原值 Pearson Top-8,68,channel_69,0.2737373737373737,0.2606060606060606,0.0
raw_pearson,原值 Pearson Top-8,69,channel_70,0.5811447811447812,0.6,0.45454545454545453
raw_pearson,原值 Pearson Top-8,70,channel_71,0.5084175084175084,0.45454545454545453,0.45454545454545453
raw_pearson,原值 Pearson Top-8,71,channel_72,0.6296296296296297,0.6,0.6
raw_pearson,原值 Pearson Top-8,72,channel_73,0.6592592592592593,0.6,0.6
raw_pearson,原值 Pearson Top-8,73,channel_74,0.3522477522477523,0.34265734265734266,0.14285714285714285
raw_pearson,原值 Pearson Top-8,74,channel_75,0.5569023569023569,0.5272727272727272,0.45454545454545453
raw_pearson,原值 Pearson Top-8,75,channel_76,0.6666666666666666,0.6,0.6
diff_pearson,一阶差分 Pearson Top-8,0,channel_1,0.21855921855921856,0.23076923076923078,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,1,channel_2,0.21855921855921856,0.23076923076923078,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,2,channel_3,0.21855921855921856,0.23076923076923078,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,3,channel_4,0.5811447811447811,0.6,0.45454545454545453
diff_pearson,一阶差分 Pearson Top-8,4,channel_5,0.688888888888889,0.6888888888888889,0.6
diff_pearson,一阶差分 Pearson Top-8,5,channel_6,0.688888888888889,0.6888888888888889,0.6
diff_pearson,一阶差分 Pearson Top-8,6,channel_7,0.7777777777777778,0.7777777777777778,0.7777777777777778
diff_pearson,一阶差分 Pearson Top-8,7,channel_8,0.5757575757575758,0.6161616161616161,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,8,channel_9,0.5925925925925927,0.5555555555555556,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,9,channel_10,0.6888888888888888,0.6888888888888889,0.6
diff_pearson,一阶差分 Pearson Top-8,10,channel_11,0.688888888888889,0.6888888888888889,0.6
diff_pearson,一阶差分 Pearson Top-8,11,channel_12,0.29004329004329,0.3333333333333333,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,12,channel_13,0.35353535353535354,0.3333333333333333,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,13,channel_14,0.503030303030303,0.45454545454545453,0.45454545454545453
diff_pearson,一阶差分 Pearson Top-8,14,channel_15,0.3364413364413364,0.3333333333333333,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,15,channel_16,0.4383838383838384,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,16,channel_17,0.35975135975135974,0.3939393939393939,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,17,channel_18,0.4010878010878011,0.3939393939393939,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,18,channel_19,0.3606837606837607,0.3333333333333333,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,19,channel_20,0.560942760942761,0.6,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,20,channel_21,0.4181818181818182,0.3939393939393939,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,21,channel_22,0.4383838383838384,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,22,channel_23,0.3606837606837607,0.3333333333333333,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,23,channel_24,0.37684537684537683,0.3939393939393939,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,24,channel_25,0.3289377289377289,0.3333333333333333,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,25,channel_26,0.4383838383838384,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,26,channel_27,0.4383838383838384,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,27,channel_28,0.3364413364413364,0.3333333333333333,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,28,channel_29,0.46262626262626266,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,29,channel_30,0.3566433566433566,0.3333333333333333,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,30,channel_31,0.5272727272727272,0.5272727272727272,0.45454545454545453
diff_pearson,一阶差分 Pearson Top-8,31,channel_32,0.4585858585858586,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,32,channel_33,0.4343434343434343,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,33,channel_34,0.46262626262626266,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,34,channel_35,0.503030303030303,0.45454545454545453,0.45454545454545453
diff_pearson,一阶差分 Pearson Top-8,35,channel_36,0.32245532245532244,0.28205128205128205,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,36,channel_37,0.4343434343434343,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,37,channel_38,0.3637917637917638,0.3333333333333333,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,38,channel_39,0.383993783993784,0.3939393939393939,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,39,channel_40,0.3224553224553225,0.28205128205128205,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,40,channel_41,0.8518518518518517,0.7777777777777778,0.7777777777777778
diff_pearson,一阶差分 Pearson Top-8,41,channel_42,0.7851851851851851,0.7777777777777778,0.6
diff_pearson,一阶差分 Pearson Top-8,42,channel_43,0.8888888888888888,0.8888888888888888,0.7777777777777778
diff_pearson,一阶差分 Pearson Top-8,43,channel_44,1.0,1.0,1.0
diff_pearson,一阶差分 Pearson Top-8,44,channel_45,0.6592592592592592,0.6,0.6
diff_pearson,一阶差分 Pearson Top-8,45,channel_46,0.8888888888888888,0.8888888888888888,0.7777777777777778
diff_pearson,一阶差分 Pearson Top-8,46,channel_47,0.09365079365079365,0.10476190476190475,0.0
diff_pearson,一阶差分 Pearson Top-8,47,channel_48,0.2063492063492063,0.14285714285714285,0.06666666666666667
diff_pearson,一阶差分 Pearson Top-8,48,channel_49,0.16385836385836386,0.14285714285714285,0.06666666666666667
diff_pearson,一阶差分 Pearson Top-8,49,channel_50,0.2547008547008547,0.23076923076923078,0.06666666666666667
diff_pearson,一阶差分 Pearson Top-8,50,channel_51,0.2760572760572761,0.23076923076923078,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,51,channel_52,0.1912087912087912,0.18681318681318682,0.06666666666666667
diff_pearson,一阶差分 Pearson Top-8,52,channel_53,0.41414141414141414,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,53,channel_54,0.393939393939394,0.3939393939393939,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,54,channel_55,0.4585858585858586,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,55,channel_56,0.4010878010878011,0.3939393939393939,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,56,channel_57,0.3764901764901765,0.34265734265734266,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,57,channel_58,0.2851592851592852,0.23076923076923078,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,58,channel_59,0.20390720390720388,0.18681318681318682,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,59,channel_60,0.4868686868686869,0.5272727272727272,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,60,channel_61,0.25274725274725274,0.28205128205128205,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,61,channel_62,0.31934731934731936,0.3333333333333333,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,62,channel_63,0.31934731934731936,0.3333333333333333,0.23076923076923078
diff_pearson,一阶差分 Pearson Top-8,63,channel_64,0.22051282051282053,0.23076923076923078,0.06666666666666667
diff_pearson,一阶差分 Pearson Top-8,64,channel_65,0.31335331335331335,0.34265734265734266,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,65,channel_66,0.3714285714285714,0.37142857142857144,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,66,channel_67,0.4383838383838384,0.45454545454545453,0.3333333333333333
diff_pearson,一阶差分 Pearson Top-8,67,channel_68,0.17655677655677657,0.14285714285714285,0.06666666666666667
diff_pearson,一阶差分 Pearson Top-8,68,channel_69,0.27294927294927296,0.28205128205128205,0.14285714285714285
diff_pearson,一阶差分 Pearson Top-8,69,channel_70,0.8148148148148149,0.7777777777777778,0.7777777777777778
diff_pearson,一阶差分 Pearson Top-8,70,channel_71,0.8888888888888888,0.8888888888888888,0.7777777777777778
diff_pearson,一阶差分 Pearson Top-8,71,channel_72,1.0,1.0,1.0
diff_pearson,一阶差分 Pearson Top-8,72,channel_73,0.8888888888888888,0.8888888888888888,0.7777777777777778
diff_pearson,一阶差分 Pearson Top-8,73,channel_74,0.8518518518518517,0.7777777777777778,0.7777777777777778
diff_pearson,一阶差分 Pearson Top-8,74,channel_75,1.0,1.0,1.0
diff_pearson,一阶差分 Pearson Top-8,75,channel_76,1.0,1.0,1.0
