channel_id,channel,value_type,differenced,near_constant,clean_unique_count,normalization_scale,global_train_update_fraction,global_train_observed_fraction
65,channel_65,discrete_like,False,False,4,2.8091825471928085e-05,0.19377577432106657,1.0
66,channel_66,discrete_like,False,False,27,0.0006342763535957224,0.19377577432106657,1.0
67,channel_67,discrete_like,False,False,14,0.008093826598260813,0.19377577432106657,1.0
68,channel_68,discrete_like,False,False,7,0.005762941505472491,0.19377577432106657,1.0
69,channel_69,discrete_like,False,False,9,0.0017220912838147562,0.19377577432106657,1.0
70,channel_70,discrete_like,False,False,55,0.004580544858962725,0.9976593396043351,0.999354984226988
71,channel_71,discrete_like,False,False,49,0.003958278383627164,0.9976612407034555,0.999354984226988
72,channel_72,discrete_like,False,False,54,0.004396338513054014,0.9976578458835976,0.999354984226988
73,channel_73,discrete_like,False,False,58,0.00455006037891863,0.9976611049106613,0.9993551200197823
74,channel_74,discrete_like,False,False,57,0.004494558286998927,0.9976585248475692,0.9993551200197823
75,channel_75,discrete_like,False,False,48,0.0031184523235751804,0.9976617838746328,0.999354984226988
76,channel_76,discrete_like,False,False,47,0.002823322760816499,0.9976608333250726,0.9993551200197823
