channel,start,end,duration_minutes,label_types
channel_43,2000-06-25T00:47:00,2000-06-25T03:07:00,140.5,异常
channel_43,2000-07-27T19:49:00,2000-07-28T06:55:30,667.0,稀有事件
channel_43,2000-07-31T03:33:30,2000-07-31T04:16:30,43.5,稀有事件
channel_43,2000-10-10T00:23:30,2000-10-11T04:46:30,1703.5,异常
channel_43,2000-10-13T22:42:00,2000-10-13T22:49:00,7.5,稀有事件
channel_43,2000-10-13T23:19:30,2000-10-13T23:21:00,2.0,稀有事件
channel_43,2000-10-13T23:40:00,2000-10-13T23:40:00,0.5,稀有事件
channel_43,2000-10-13T23:47:00,2000-10-13T23:47:00,0.5,稀有事件
channel_43,2000-10-22T22:58:00,2000-10-22T23:06:00,8.5,稀有事件
channel_44,2000-02-10T01:31:30,2000-02-10T01:35:00,4.0,稀有事件
channel_44,2000-02-10T15:11:00,2000-02-10T20:33:00,322.5,稀有事件
channel_44,2000-03-19T06:01:30,2000-03-20T23:13:30,2472.5,异常
channel_44,2000-04-23T15:16:00,2000-04-25T14:18:00,2822.5,异常
channel_44,2000-06-25T00:44:30,2000-06-25T03:07:00,143.0,异常
channel_44,2000-07-27T19:49:00,2000-07-28T06:55:30,667.0,稀有事件
channel_44,2000-07-31T03:33:30,2000-07-31T04:16:30,43.5,稀有事件
channel_44,2000-10-10T00:41:00,2000-10-11T03:24:30,1604.0,异常
channel_44,2000-10-13T22:42:00,2000-10-13T22:48:30,7.0,稀有事件
channel_44,2000-10-13T23:19:30,2000-10-13T23:24:30,5.5,稀有事件
channel_44,2000-10-13T23:39:30,2000-10-13T23:40:00,1.0,稀有事件
channel_44,2000-10-13T23:47:00,2000-10-13T23:47:00,0.5,稀有事件
channel_44,2000-10-22T22:58:00,2000-10-22T23:06:00,8.5,稀有事件
channel_45,2000-02-10T01:32:00,2000-02-10T01:35:00,3.5,稀有事件
channel_45,2000-02-10T15:41:30,2000-02-10T20:25:00,284.0,稀有事件
channel_45,2000-03-19T06:01:30,2000-03-20T23:13:30,2472.5,异常
channel_45,2000-04-23T15:16:00,2000-04-25T14:18:00,2822.5,异常
channel_45,2000-06-25T00:49:00,2000-06-25T03:09:00,140.5,异常
channel_45,2000-07-27T19:49:30,2000-07-28T06:55:30,666.5,稀有事件
channel_45,2000-07-31T03:33:30,2000-07-31T04:16:30,43.5,稀有事件
channel_45,2000-10-10T00:47:00,2000-10-11T01:15:30,1469.0,异常
channel_45,2000-10-13T22:41:30,2000-10-13T22:49:30,8.5,稀有事件
channel_45,2000-10-13T23:19:30,2000-10-13T23:24:30,5.5,稀有事件
channel_45,2000-10-13T23:39:30,2000-10-13T23:40:00,1.0,稀有事件
channel_45,2000-10-13T23:47:00,2000-10-13T23:47:00,0.5,稀有事件
channel_45,2000-10-22T22:58:00,2000-10-22T23:06:00,8.5,稀有事件
channel_46,2000-02-10T01:32:00,2000-02-10T01:35:00,3.5,稀有事件
channel_46,2000-02-10T15:41:30,2000-02-10T20:11:30,270.5,稀有事件
channel_46,2000-03-19T06:01:30,2000-03-20T23:13:30,2472.5,异常
channel_46,2000-04-23T15:16:00,2000-04-25T14:18:00,2822.5,异常
channel_46,2000-06-25T00:52:00,2000-06-25T03:05:00,133.5,异常
channel_46,2000-07-27T19:49:00,2000-07-28T06:55:30,667.0,稀有事件
channel_46,2000-07-31T03:33:30,2000-07-31T04:16:30,43.5,稀有事件
channel_46,2000-10-10T00:58:30,2000-10-11T01:21:30,1463.5,异常
channel_46,2000-10-13T22:43:00,2000-10-13T22:54:30,12.0,稀有事件
channel_46,2000-10-13T23:19:30,2000-10-13T23:21:00,2.0,稀有事件
channel_46,2000-10-13T23:39:30,2000-10-13T23:40:00,1.0,稀有事件
channel_46,2000-10-13T23:47:00,2000-10-13T23:47:00,0.5,稀有事件
channel_46,2000-10-14T00:17:30,2000-10-14T00:18:00,1.0,稀有事件
channel_46,2000-10-22T22:58:30,2000-10-22T23:06:00,8.0,稀有事件
